"ParamID";"Enable";"ReadRegister";"WriteRegister";"DisplayText";"Scale";"Offset";"TotalBytes";"NumUsedBits";"MinVal";"MaxVal"
"PH_C_REAL_POWER";0;121;;"Активная мощность фазы С генератора";0,001;-2000000;4;32;-2000000000;2211081215
"PH_A_APRNT_POWER";0;123;;"Кажущаяся мощность фазы А генератора";0,001;-2000000;4;32;-2000000000;2211081215
"PH_B_APRNT_POWER";0;125;;"Кажущаяся мощность фазы В генератора";0,001;-2000000;4;32;-2000000000;2211081215
"PH_C_APRNT_POWER";0;127;;"Кажущаяся мощность фазы С генератора";0,001;-2000000;4;32;-2000000000;2211081215
"PH_A_REACT_POWER";0;129;;"Реактивная мощность фазы А генератора";0,001;-2000000;4;32;-2000000000;2211081215
"PH_B_REACT_POWER";0;131;;"Реактивная мощность фазы В генератора";0,001;-2000000;4;32;-2000000000;2211081215
"PH_C_REACT_POWER";0;133;;"Реактивная мощность фазы С генератора";0,001;-2000000;4;32;-2000000000;2211081215
"PH_A_PWR_FACTOR";0;135;;"Коэффициент мощности фазы А генератора";0,00006103515625;-1;2;16;-1;1
"PH_B_PWR_FACTOR";0;136;;"Коэффициент мощности фазы В генератора";0,00006103515625;-1;2;16;-1;1
"PH_C_PWR_FACTOR";0;137;;"Коэффициент мощности фазы С генератора";0,00006103515625;-1;2;16;-1;1
"TOT_APRNT_POWER";0;138;;"Полная кажущаяся мощность генератора";0,001;-2000000;4;32;-2000000000;2211081215
"TOT_KVA_PCNT";0;140;;"Полная мощность генератора, кВА, в %";0,0078125;-251;2;16;-251;250,99
"TOT_REACT_POWER";0;141;;"Общая реактивная мощность генератора";0,001;-2000000;4;32;-2000000000;2211081215
"TOT_KVAR_PCNT";0;143;;"Полная рекактивная мощность генератора, квар";0,0078125;-251;2;16;-251;250,99
"TOT_KWH";0;144;;"Полная активная энергия генератора, кВтчас";1;0;4;32;0;4211081215
"TOT_KVAH";0;146;;"Полная реактивная энергия генератора квар х час";1;0;4;32;0;4211081215
"AVG_L2N_VOLTS";0;148;;"Среднее фазное (меж линией и нейтралью) среднеквадратичное напряжение переменного тока генератора";1;0;2;16;0;64255
"FRNT_BRG_TMP";0;149;;"Температура переднего подшипника генератора";0,03125;-273;2;16;-273;1735
"REAR_BRG_TMP";0;150;;"Температура заднего подшипника генератора";0,03125;-273;2;16;-273;1735
"PH_A_WND_TMP";0;151;;"Температура обмотки фазы А генератора";0,03125;-273;2;16;-273;1735
"PH_B_WND_TMP";0;152;;"Температура обмотки фазы В генератора";0,03125;-273;2;16;-273;1735
"PH_C_WND_TMP";0;153;;"Температура обмотки фазы С генератора";0,03125;-273;2;16;-273;1735
"PH_A_P_FCTR_LAG";0;159;;"Сдвиг по фазе коэффициента мощности фазы А генератора";1;0;2;2;0;3
"PH_B_P_FCTR_LAG";0;160;;"Сдвиг по фазе коэффициента мощности фазы В генератора";1;0;2;2;0;3
"PH_C_P_FCTR_LAG";0;161;;"Сдвиг по фазе коэффициента мощности фазы С генератора";1;0;2;2;0;3
"REAR_BRG_TMP_IO";0;162;;"Температура заднего подшипника генератора с контакта ВВ/ВЫВ";0,03125;-273;2;16;-273;1735
"AVG_L2L_VOLTS_%";0;163;;"Среднее линейное среднеквадратичное напряжение переменного тока генератора в %";0,0078125;-251;2;16;-251;250,99
"B_AVG_L2L_VOLTS";0;164;;"Среднее линейное среднеквадратичное напряжение переменного тока на шинах";1;0;2;16;0;64255
"B_AVG_AC_FREQ";0;165;;"Среднее значение среднеквадратичной частоты переменного тока на шинах";0,0078125;0;2;16;0;501,9922
"B_PH_A_L2L_VOLTS";0;166;;"Линейное среднеквадратичное напряжение переменного тока на шинах фазы А";1;0;2;16;0;64255
"B_PH_B_L2L_VOLTS";0;167;;"Линейное среднеквадратичное напряжение переменного тока на шинах фазы В";1;0;2;16;0;64255
"B_PH_C_L2L_VOLTS";0;168;;"Линейное среднеквадратичное напряжение переменного тока на шинах фазы С";1;0;2;16;0;64255
"B_PH_A_L2N_VOLTS";0;169;;"Фазное среднеквадратичное напряжение переменного тока на шинах фазы А";1;0;2;16;0;64255
"B_PH_B_L2N_VOLTS";0;170;;"Фазное среднеквадратичное напряжение переменного тока на шинах фазы В";1;0;2;16;0;64255
"B_PH_C_L2N_VOLTS";0;171;;"Фазное среднеквадратичное напряжение переменного тока на шинах фазы С";1;0;2;16;0;64255
"B_AVG_L2N_VOLTS";0;172;;"Среднее фазное среднеквадратичное напряжение переменного тока на шинах";1;0;2;16;0;64255
"B_AVG_L2L_VOLT_%";0;173;;"Среднее линейное среднеквадратичное напряжение переменного тока на шинах в %";0,0078125;-251;2;16;-251;250,99
"TOT_KWM_IM";0;174;;"Полная активная энергия, импортированная генератором, кВтчас";1;0;4;32;0;4211081215
"TOT_KVAH_IM";0;176;;"Полная реактивная энергия, импортированная генератором, квар х час";1;0;4;32;0;4211081215
"ENG_OIL_PRESS";0;200;;"Давл масла двгля";0,125;0;2;16;0;8031,875
"ENG_COOL_TMP";0;201;;"Темп охл жидк двгля";0,03125;-273;2;16;-273;1735
"BAT_VOLTS";0;202;;"Напр акк бат";0,05;0;2;16;0;3212,75
"ENG_RPM";0;203;;"ЧВД";0,125;0;2;16;0;8031,875
"ENG_OP_HRS";0;204;;"Моточасы работы двигателя";0,05;0;4;32;0;210554060,75
"AUTO_STRT_STOP";0;206;;"Состояние автоматического пуска/останова";1;0;2;8;0;7
